Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DirListingExportHandler.exportProperties( PropertyExportContext exportContext , boolean isCollection );1;1;3
DirListingExportHandler.setIOManager( IOManager ioManager );1;0;3
DirListingExportHandler.canExport( ExportContext context , boolean isCollection );4;4;6
DirListingExportHandler.importContent( ImportContext context , DavResource resource );1;0;3
DirListingExportHandler.importProperties( PropertyImportContext importContext , boolean isCollection );1;0;3
DirListingExportHandler.exportContent( ExportContext context , DavResource resource );5;2;50
DirListingExportHandler.canImport( ImportContext context , DavResource resource );1;0;3
DirListingExportHandler.canImport( PropertyImportContext context , boolean isCollection );1;0;3
DirListingExportHandler.exportContent( ExportContext context , boolean isCollection );7;2;55
DirListingExportHandler.importContent( ImportContext context , boolean isCollection );1;0;3
DirListingExportHandler.getName( );1;0;3
DirListingExportHandler.canExport( ExportContext context , DavResource resource );2;1;6
DirListingExportHandler.DirListingExportHandler( IOManager ioManager );1;0;3
DirListingExportHandler.canImport( ImportContext context , boolean isFolder );1;0;3
DirListingExportHandler.getIOManager( );1;0;3
DirListingExportHandler.canExport( PropertyExportContext context , boolean isCollection );1;0;3
DirListingExportHandler.DirListingExportHandler( );1;0;2
