Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SupportedLock.toXml( Document document );2;0;9
WriteLockEntry.WriteLockEntry( Type type , Scope scope );4;4;9
SupportedLock.getSupportedLocks( );1;0;3
SupportedLock.getValue( );1;0;3
SupportedLock.addEntry( Type type , Scope scope );1;0;3
WriteLockEntry.getType( );1;0;3
SupportedLock.SupportedLock( );1;0;3
WriteLockEntry.getScope( );1;0;3
SupportedLock.isSupportedLock( Type type , Scope scope );4;1;10
SupportedLock.addEntry( LockEntry entry );2;1;6
