Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PropIter.PropIter( Namespace namespace );1;0;5
DavPropertySet.addAll( DavPropertySet pset );1;0;3
PropIter.seek( );4;2;9
DavPropertySet.remove( DavPropertyName name );1;0;3
DavPropertySet.add( DavProperty property );1;0;3
DavPropertySet.get( DavPropertyName name );1;0;3
DavPropertySet.contains( DavPropertyName name );1;0;3
DavPropertySet.iterator( );1;0;3
DavPropertySet.remove( String name );1;0;3
DavPropertySet.remove( String name , Namespace namespace );1;0;3
DavPropertySet.addContent( Object contentEntry );2;0;8
PropIter.remove( );1;0;3
PropIter.PropIter( );1;0;3
PropIter.nextProperty( );2;1;8
DavPropertySet.get( String name , Namespace namespace );1;0;3
DavPropertySet.iterator( Namespace namespace );1;0;3
PropIter.next( );1;0;3
DavPropertySet.getPropertyNames( );1;0;4
DavPropertySet.getContentSize( );1;0;3
DavPropertySet.isEmpty( );1;0;3
DavPropertySet.get( String name );1;0;3
DavPropertySet.getContent( );1;0;3
PropIter.hasNext( );1;1;3
