Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MutableShort.compareTo( Object obj );3;3;5
***not in a method***;0;1;0
MutableShort.MutableShort( short value );1;0;4
MutableShort.add( Number operand );1;1;3
MutableShort.subtract( short operand );1;1;3
MutableShort.decrement( );1;1;3
MutableShort.floatValue( );1;0;3
MutableShort.longValue( );1;0;3
MutableShort.MutableShort( Number value );1;0;4
MutableShort.getValue( );1;0;3
MutableShort.setValue( Object value );1;0;3
MutableShort.shortValue( );1;0;3
MutableShort.increment( );1;1;3
MutableShort.intValue( );1;0;3
MutableShort.toString( );1;0;3
MutableShort.doubleValue( );1;0;3
MutableShort.add( short operand );1;1;3
MutableShort.hashCode( );1;0;3
MutableShort.subtract( Number operand );1;1;3
MutableShort.toShort( );1;0;3
MutableShort.MutableShort( );1;0;3
MutableShort.setValue( short value );1;0;3
MutableShort.equals( Object obj );2;1;6
