Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HyphenatedNameMapper.toString( );1;0;3
HyphenatedNameMapper.HyphenatedNameMapper( );1;0;2
HyphenatedNameMapper.isUpperCase( );1;0;3
HyphenatedNameMapper.setSeparator( String separator );1;0;3
HyphenatedNameMapper.setUpperCase( boolean upperCase );1;0;3
HyphenatedNameMapper.HyphenatedNameMapper( boolean upperCase );1;0;3
HyphenatedNameMapper.convertChar( char ch );2;0;7
HyphenatedNameMapper.mapTypeToElementName( String typeName );5;3;21
HyphenatedNameMapper.HyphenatedNameMapper( boolean upperCase , String separator );1;0;4
HyphenatedNameMapper.getSeparator( );1;0;3
