Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
EventDetailLayout.format( final LoggingEvent event );1;0;6
EventDetailLayout.formatProperties( LoggingEvent event );2;0;10
EventDetailLayout.ignoresThrowable( );1;0;3
EventDetailLayout.copyForHTML( LoggingEvent event );2;0;22
EventDetailLayout.getHeader( );1;0;3
EventDetailLayout.EventDetailLayout( );1;0;2
EventDetailLayout.activateOptions( );1;0;2
EventDetailLayout.setConversionPattern( String conversionPattern );1;0;4
EventDetailLayout.formatLocationInfo( LoggingEvent event );1;0;8
EventDetailLayout.escape( String string );7;3;27
EventDetailLayout.getConversionPattern( );1;0;3
EventDetailLayout.getFooter( );1;0;3
