Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ScopeDaoImpl.getCorrelationSet( String corrSetName );2;1;15
ScopeDaoImpl.apply( HBpelEvent x );1;0;3
ScopeDaoImpl.getVariable( String varName );3;2;20
ScopeDaoImpl.getPartnerLink( int plinkId );2;1;10
ScopeDaoImpl.getVariables( );1;0;10
ScopeDaoImpl.apply( HScope x );1;0;3
ScopeDaoImpl.getModelId( );1;0;3
ScopeDaoImpl.getScopeInstanceId( );1;0;3
ScopeDaoImpl.getChildScopes( );1;0;11
ScopeDaoImpl.apply( HXmlData x );1;0;3
ScopeDaoImpl.listEvents( );2;0;17
ScopeDaoImpl.getName( );1;0;3
ScopeDaoImpl.getProcessInstance( );1;0;4
ScopeDaoImpl.getParentScope( );2;1;6
ScopeDaoImpl.getState( );1;0;3
ScopeDaoImpl.setState( ScopeStateEnum state );1;0;5
ScopeDaoImpl.getCorrelationSets( );2;0;8
ScopeDaoImpl.createPartnerLink( int modelId , String pLinkName , String myRole , String partnerRole );1;0;12
ScopeDaoImpl.getPartnerLinks( );2;0;8
ScopeDaoImpl.ScopeDaoImpl( SessionManager sm , HScope scope );1;0;5
