Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Tracker.addReference( String schemaLoc );2;1;6
Tracker.getBase( );1;0;3
Tracker.endPrefixMapping( String prefix );1;0;2
Tracker.endDocument( );1;0;2
Tracker.startElement( String uri , String localName , String qName , Attributes atts );1;0;2
Tracker.skippedEntity( String name );1;0;2
Tracker.setDocumentLocator( Locator locator );1;0;2
Tracker.startDocument( );1;0;2
Tracker.getReferences( );1;0;3
Tracker.addReference( URI ref );3;0;9
Tracker.endElement( String uri , String localName , String qName );1;0;2
Tracker.init( URI base , Set < URI > references );1;0;4
Tracker.processingInstruction( String target , String data );1;0;2
Tracker.startPrefixMapping( String prefix , String uri );1;0;2
Tracker.characters( char ch [ ] , int start , int length );1;0;2
Tracker.ignorableWhitespace( char ch [ ] , int start , int length );1;0;2
