Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HttpFileSystemConfigBuilder.getProxyPort( FileSystemOptions opts );2;1;7
HttpFileSystemConfigBuilder.getCookies( FileSystemOptions opts );1;0;3
HttpFileSystemConfigBuilder.getUrlCharset( FileSystemOptions opts );1;0;3
HttpFileSystemConfigBuilder.getProxyAuthenticator( FileSystemOptions opts );1;0;3
HttpFileSystemConfigBuilder.setProxyHost( FileSystemOptions opts , String proxyHost );1;0;3
HttpFileSystemConfigBuilder.getProxyHost( FileSystemOptions opts );1;0;3
HttpFileSystemConfigBuilder.setProxyAuthenticator( FileSystemOptions opts , UserAuthenticator authenticator );1;0;3
HttpFileSystemConfigBuilder.getConfigClass( );1;0;3
HttpFileSystemConfigBuilder.setProxyPort( FileSystemOptions opts , int proxyPort );1;0;3
HttpFileSystemConfigBuilder.HttpFileSystemConfigBuilder( );1;0;2
HttpFileSystemConfigBuilder.setUrlCharset( FileSystemOptions opts , String chaset );1;0;3
HttpFileSystemConfigBuilder.getInstance( );1;0;3
HttpFileSystemConfigBuilder.setCookies( FileSystemOptions opts , Cookie [ ] cookies );1;0;3
