Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
WebdavFileSystemConfigBuilder.getInstance( );1;0;3
WebdavFileSystemConfigBuilder.WebdavFileSystemConfigBuilder( );1;0;2
WebdavFileSystemConfigBuilder.getUrlCharset( FileSystemOptions opts );1;0;3
WebdavFileSystemConfigBuilder.getConfigClass( );1;0;3
WebdavFileSystemConfigBuilder.setProxyAuthenticator( FileSystemOptions opts , UserAuthenticator authenticator );1;0;3
WebdavFileSystemConfigBuilder.getProxyAuthenticator( FileSystemOptions opts );1;0;3
WebdavFileSystemConfigBuilder.getProxyPort( FileSystemOptions opts );2;1;7
WebdavFileSystemConfigBuilder.setProxyPort( FileSystemOptions opts , int proxyPort );1;0;3
WebdavFileSystemConfigBuilder.setUrlCharset( FileSystemOptions opts , String chaset );1;0;3
WebdavFileSystemConfigBuilder.getProxyHost( FileSystemOptions opts );1;0;3
WebdavFileSystemConfigBuilder.setProxyHost( FileSystemOptions opts , String proxyHost );1;0;3
