Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Type.addAllEnumerationsFrom( Type from );10;12;28
Type.getElements( );1;0;4
Type.toString( );1;0;9
Type.getContentType( );1;0;3
Type.createNamedType( QName name , int contentType );1;1;7
Type.isEnumeration( );3;4;3
Type.isComplexType( );3;5;5
Type.setTopParticleForComplexOrMixedContent( int topParticleForComplexOrMixedContent );1;0;3
Type.getTopParticleForComplexOrMixedContent( );1;0;3
Type.setElements( List elements );1;0;5
Type.closeEnumeration( );1;0;3
Type.getEnumerationValues( );1;0;4
Type.setName( QName name );1;0;3
Type.setContentType( int kind );1;0;3
Type.getExtensionType( );1;0;3
Type.ensureAttributes( );2;1;4
Type.isGlobal( );1;0;3
Type.getAttribute( QName name );3;2;9
Type.addElement( Element element );1;0;4
Type.Type( );1;0;1
Type.getNamespaceForPrefix( String prefix );1;0;1
Type.isQNameEnumeration( );4;5;3
Type.setExtensionType( Type extendedType );2;4;5
Type.ensureElements( );2;1;4
Type.getName( );1;0;3
Type.getAttributes( );1;0;4
Type.setGlobal( boolean isGlobal );2;2;4
Type.ensureEnumerationValues( );2;1;7
Type.hasSimpleContent( );2;3;4
Type.createUnnamedType( int contentType );5;9;10
Type.addEnumerationValue( String enumerationValue , final XmlCursor xc );5;6;19
Type.addAttribute( Attribute attribute );1;0;4
Type.getEnumerationQNames( );1;0;4
