Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SchemaLocalAttributeImpl.getType( );1;0;1
SchemaLocalAttributeImpl.isFixed( );1;0;1
SchemaLocalAttributeImpl.setDefaultValue( XmlValueRef defaultRef );1;0;1
SchemaLocalAttributeImpl.getMinOccurs( );2;1;1
SchemaLocalAttributeImpl.getDefaultValue( );5;4;21
SchemaLocalAttributeImpl.init( QName name , SchemaType . Ref typeref , int use , String deftext , XmlObject parseObject , XmlValueRef defvalue , boolean isFixed , SOAPArrayType wsdlArray , SchemaAnnotation ann , Object userData );3;4;15
SchemaLocalAttributeImpl.getUserData( );1;0;1
SchemaLocalAttributeImpl.getUse( );1;0;1
SchemaLocalAttributeImpl.isNillable( );1;0;1
SchemaLocalAttributeImpl.getName( );1;0;1
SchemaLocalAttributeImpl.getWSDLArrayType( );1;0;1
SchemaLocalAttributeImpl.getAnnotation( );1;0;1
SchemaLocalAttributeImpl.getTypeRef( );1;0;1
SchemaLocalAttributeImpl.getDefaultText( );1;0;1
SchemaLocalAttributeImpl.resolveTypeRef( SchemaType . Ref typeref );2;1;5
SchemaLocalAttributeImpl.isDefault( );1;0;1
SchemaLocalAttributeImpl.getMaxOccurs( );2;1;1
SchemaLocalAttributeImpl.isTypeResolved( );1;1;3
SchemaLocalAttributeImpl.isAttribute( );1;0;1
SchemaLocalAttributeImpl.SchemaLocalAttributeImpl( );1;0;2
