Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SchemaParticleImpl.isTypeResolved( );1;1;3
SchemaParticleImpl.setDefaultValue( XmlValueRef defaultRef );1;0;4
SchemaParticleImpl.setTransitionRules( QNameSet start , boolean isSkippable );1;0;4
SchemaParticleImpl.getType( );2;1;1
SchemaParticleImpl.getMaxOccurs( );1;0;1
SchemaParticleImpl.isFixed( );1;0;1
SchemaParticleImpl.isAttribute( );1;0;1
SchemaParticleImpl.setTransitionNotes( QNameSet excludeNext , boolean isDeterministic );1;0;4
SchemaParticleImpl.getIntMaxOccurs( );1;0;1
SchemaParticleImpl.setWildcardProcess( int process );1;0;1
SchemaParticleImpl.isDefault( );1;0;1
SchemaParticleImpl.getMinOccurs( );1;0;1
SchemaParticleImpl.getParticleType( );1;0;1
SchemaParticleImpl.setDefault( String deftext , boolean isFixed , XmlObject parseObject );1;1;7
SchemaParticleImpl.getUserData( );1;0;3
SchemaParticleImpl.canStartWithElement( QName name );2;2;1
SchemaParticleImpl.setNillable( boolean nillable );1;0;1
SchemaParticleImpl.isSingleton( );3;5;3
SchemaParticleImpl.setWildcardSet( QNameSet set );1;0;1
SchemaParticleImpl.isDeterministic( );1;0;1
SchemaParticleImpl.setMaxOccurs( BigInteger max );1;0;1
SchemaParticleImpl.setNameAndTypeRef( QName formname , SchemaType . Ref typeref );1;0;1
SchemaParticleImpl.mutate( );2;0;1
SchemaParticleImpl.isSkippable( );1;0;1
SchemaParticleImpl.getDefaultText( );1;0;1
SchemaParticleImpl.setUserData( Object data );1;0;3
SchemaParticleImpl.countOfParticleChild( );2;1;1
SchemaParticleImpl.getIntMinOccurs( );1;0;1
SchemaParticleImpl.getWildcardSet( );1;0;1
SchemaParticleImpl.getDefaultValue( );6;5;21
SchemaParticleImpl.getWildcardProcess( );1;0;1
SchemaParticleImpl.setImmutable( );1;0;1
SchemaParticleImpl.getParticleChild( int i );1;0;1
SchemaParticleImpl.setParticleChildren( SchemaParticle [ ] children );1;0;1
SchemaParticleImpl.isNillable( );1;0;1
SchemaParticleImpl.getParticleChildren( );4;6;12
SchemaParticleImpl.setParticleType( int pType );1;0;1
SchemaParticleImpl.acceptedStartNames( );1;0;1
SchemaParticleImpl.hasTransitionNotes( );1;1;1
SchemaParticleImpl.resolveTypeRef( SchemaType . Ref typeref );2;1;5
SchemaParticleImpl.pegBigInteger( BigInteger bi );4;3;9
SchemaParticleImpl.getName( );1;0;1
SchemaParticleImpl.setMinOccurs( BigInteger min );1;0;1
SchemaParticleImpl.hasTransitionRules( );1;1;1
SchemaParticleImpl.getExcludeNextSet( );1;0;1
