Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XmlOptions.safeGet( XmlOptions o , Object option );2;1;3
XmlOptions.setCompileMdefNamespaces( Set mdefNamespaces );1;0;3
XmlOptions.setLoadLineNumbers( String option );1;0;5
XmlOptions.put( Object option , int value );1;0;1
XmlOptions.setValidateTreatLaxAsSkip( );1;0;3
XmlOptions.setLoadReplaceDocumentElement( QName replacement );1;0;3
XmlOptions.setUnsynchronized( );1;0;3
XmlOptions.setEntityResolver( EntityResolver resolver );1;0;3
XmlOptions.setUseDefaultNamespace( );1;0;3
XmlOptions.setXqueryVariables( Map varMap );1;0;3
XmlOptions.setLoadUseXMLReader( XMLReader xmlReader );1;0;3
XmlOptions.setLoadAdditionalNamespaces( Map nses );1;0;3
XmlOptions.setSaveCDataLengthThreshold( int cdataLengthThreshold );1;0;3
XmlOptions.set( Object option , int value );1;0;1
XmlOptions.setDocumentSourceName( String documentSourceName );1;0;3
XmlOptions.setSaveOuter( );1;0;3
XmlOptions.setDocumentType( SchemaType type );1;0;3
XmlOptions.setSaveSuggestedPrefixes( Map suggestedPrefixes );1;0;3
XmlOptions.setLoadMessageDigest( );1;0;3
XmlOptions.setSavePrettyPrint( );1;0;3
XmlOptions.setCompileNoUpaRule( );1;0;3
XmlOptions.setCompileNoPvrRule( );1;0;3
XmlOptions.hasOption( XmlOptions options , Object option );2;1;1
XmlOptions.XmlOptions( XmlOptions other );2;1;3
XmlOptions.setCompileNoValidation( );1;0;3
XmlOptions.setLoadTrimTextBuffer( );1;0;3
XmlOptions.setLoadStripWhitespace( );1;0;3
XmlOptions.setSaveUseOpenFrag( );1;0;3
XmlOptions.setSaveAggresiveNamespaces( );1;0;3
XmlOptions.set( Object option , Object value );1;0;1
XmlOptions.setSaveImplicitNamespaces( Map implicitNamespaces );1;0;3
XmlOptions.setLoadStripComments( );1;0;3
XmlOptions.setSavePrettyPrintOffset( int offset );1;0;3
XmlOptions.put( Object option , Object value );1;0;1
XmlOptions.setValidateOnSet( );1;0;3
XmlOptions.setCompileNoAnnotations( );1;0;3
XmlOptions.setLoadSubstituteNamespaces( Map substNamespaces );1;0;3
XmlOptions.setLoadLineNumbers( );1;0;3
XmlOptions.setSaveNoXmlDecl( );1;0;3
XmlOptions.setSaveSaxNoNSDeclsInAttributes( );1;0;3
XmlOptions.setSaveSubstituteCharacters( XmlOptionCharEscapeMap characterReplacementMap );1;0;3
XmlOptions.XmlOptions( );1;0;1
XmlOptions.setSaveAggressiveNamespaces( );1;0;3
XmlOptions.setErrorListener( Collection c );1;0;3
XmlOptions.remove( Object option );1;0;1
XmlOptions.put( Object option );1;0;1
XmlOptions.setGenerateJavaVersion( String source );1;0;3
XmlOptions.setSaveCDataEntityCountThreshold( int cdataEntityCountThreshold );1;0;3
XmlOptions.setCharacterEncoding( String encoding );1;0;3
XmlOptions.setSavePrettyPrintIndent( int indent );1;0;3
XmlOptions.set( Object option );1;0;1
XmlOptions.setCompileSubstituteNames( Map nameMap );1;0;3
XmlOptions.hasOption( Object option );1;0;1
XmlOptions.setUseCDataBookmarks( );1;0;3
XmlOptions.setLoadUseDefaultResolver( );1;0;3
XmlOptions.setCompileDownloadUrls( );1;0;3
XmlOptions.setSaveInner( );1;0;3
XmlOptions.setSaveSyntheticDocumentElement( QName name );1;0;3
XmlOptions.setXqueryCurrentNodeVar( String varName );1;0;3
XmlOptions.setSchemaCodePrinter( SchemaCodePrinter printer );1;0;3
XmlOptions.setSaveFilterProcinst( String filterProcinst );1;0;3
XmlOptions.setLoadStripProcinsts( );1;0;3
XmlOptions.maskNull( XmlOptions o );2;1;3
XmlOptions.setSaveNamespacesFirst( );1;0;3
XmlOptions.get( Object option );1;0;1
