Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
***not in a method***;0;2;0
SplineVisualizer.formatMeasureToDisplay( long measure );3;2;9
SplineVisualizer.updateGui( );1;0;9
SplineVisualizer.setMinimum( long n );1;1;4
SplineVisualizer.setMaximum( long n );1;1;4
SplineVisualizer.setGUI( );3;0;65
SplineVisualizer.getImage( );1;0;5
SplineGraph.paintComponent( Graphics g );5;16;27
SplineVisualizer.updateGui( Sample s );1;0;3
SplineGraph.SplineGraph( );1;0;2
SplineVisualizer.add( SampleResult res );1;0;3
SplineVisualizer.setAverage( long n );1;1;4
SplineVisualizer.getControlPanel( );1;0;3
SplineVisualizer.toString( );1;0;3
SplineVisualizer.setIncoming( long n );1;1;4
SplineVisualizer.SplineVisualizer( );1;0;7
SplineVisualizer.clearData( );1;0;3
SplineGraph.clear( );1;2;6
SplineVisualizer.getLabelResource( );1;0;3
