Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ResultsNodeRenderer.getTreeCellRendererComponent( JTree tree , Object value , boolean sel , boolean expanded , boolean leaf , int row , boolean focus );5;2;19
ViewResultsFullVisualizer.createResponseMetadataPanel( );1;0;15
ViewResultsFullVisualizer.ViewResultsFullVisualizer( );1;0;6
ViewResultsFullVisualizer.valueChanged( TreeSelectionEvent e );21;9;119
ViewResultsFullVisualizer.showImage( Icon image );1;0;8
***not in a method***;0;1;0
ViewResultsFullVisualizer.createLeftPanel( );1;0;16
ViewResultsFullVisualizer.toString( );2;0;7
LocalHTMLEditorKit.getViewFactory( );1;0;3
ViewResultsFullVisualizer.showRenderJSONResponse( String response );2;1;10
ViewResultsFullVisualizer.updateGui( SampleResult res );6;5;22
ViewResultsFullVisualizer.createResponseDataPanel( );1;0;10
ViewResultsFullVisualizer.getResponseAsString( SampleResult res );4;3;13
DomTreeRenderer.encode( char c );5;0;18
ViewResultsFullVisualizer.actionPerformed( ActionEvent e );11;6;24
ViewResultsFullVisualizer.createRequestPanel( );1;0;9
LocalHTMLFactory.create( Element elem );4;2;12
ViewResultsFullVisualizer.clearData( );3;1;12
ViewResultsFullVisualizer.showRenderXMLResponse( SampleResult res );4;4;30
DomTreeRenderer.getHTML( String str , String separator , int maxChar );4;6;12
ViewResultsFullVisualizer.setupTabPaneForAssertionResult( );3;2;11
ViewResultsFullVisualizer.init( );1;0;12
DomTreeRenderer.getTreeCellRendererComponent( JTree tree , Object value , boolean sel , boolean expanded , boolean leaf , int row , boolean phasFocus );1;0;6
DOMTreePanel.getFirstElement( Node parent );3;3;12
DOMTreePanel.DOMTreePanel( org . w3c . dom . Document document );2;0;18
ViewResultsFullVisualizer.createHtmlOrTextPane( );1;3;31
ViewResultsFullVisualizer.addSubResults( DefaultMutableTreeNode currNode , SampleResult res );6;7;22
ViewResultsFullVisualizer.showTextResponse( String response );2;1;10
ViewResultsFullVisualizer.showRenderedResponse( String response , SampleResult res );6;3;27
ViewResultsFullVisualizer.showErrorMessageDialog( String message , String title , int messageType );1;0;3
ViewResultsFullVisualizer.setupTabPaneForSampleResult( );3;2;9
ViewResultsFullVisualizer.add( SampleResult res );1;0;3
ViewResultsFullVisualizer.getLabelResource( );1;0;3
ViewResultsFullVisualizer.prettyJSON( String json );14;22;48
