Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CLOptionDescriptor.getName( );1;0;3
CLOptionDescriptor.checkFlags( final int flags );7;14;22
CLOptionDescriptor.CLOptionDescriptor( final String name , final int flags , final int id , final String description , final CLOptionDescriptor [ ] incompatible );2;2;11
***not in a method***;0;5;0
CLOptionDescriptor.getIncompatible( );1;0;3
CLOptionDescriptor.toString( );1;0;13
CLOptionDescriptor.CLOptionDescriptor( final String name , final int flags , final int id , final String description );2;2;8
CLOptionDescriptor.getDescription( );1;0;3
CLOptionDescriptor.getFlags( );1;0;3
CLOptionDescriptor.getId( );1;0;3
