Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ReportFilePanel.ReportFilePanel( String title , String filetype );1;0;4
ReportFilePanel.ReportFilePanel( );1;0;4
ReportFilePanel.setFilename( String f );1;0;3
ReportFilePanel.ReportFilePanel( String title );1;0;4
ReportFilePanel.actionPerformed( ActionEvent e );4;3;11
ReportFilePanel.ReportFilePanel( ChangeListener l , String title );1;0;5
ReportFilePanel.fireFileChanged( );2;0;6
ReportFilePanel.init( );1;0;11
ReportFilePanel.enableFile( boolean enable );1;0;4
ReportFilePanel.getFilename( );1;0;3
ReportFilePanel.addChangeListener( ChangeListener l );1;0;3
