Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PatternMatcherInput.getCurrentOffset( );1;0;1
PatternMatcherInput.setMatchOffsets( int matchBeginOffset , int matchEndOffset );1;0;4
PatternMatcherInput.PatternMatcherInput( String input );1;0;3
PatternMatcherInput.charAt( int offset );1;1;3
***not in a method***;0;2;0
PatternMatcherInput.postMatch( );1;1;4
PatternMatcherInput.substring( int beginOffset , int endOffset );1;2;4
PatternMatcherInput.setBeginOffset( int offset );1;0;1
PatternMatcherInput.getEndOffset( );1;0;1
PatternMatcherInput.endOfInput( );1;1;1
PatternMatcherInput.getMatchBeginOffset( );1;0;1
PatternMatcherInput.PatternMatcherInput( char [ ] input );1;0;3
PatternMatcherInput.getBeginOffset( );1;0;1
PatternMatcherInput.setEndOffset( int offset );1;0;1
PatternMatcherInput.toString( );1;0;3
PatternMatcherInput.PatternMatcherInput( char [ ] input , int begin , int length );1;0;3
PatternMatcherInput.preMatch( );1;1;4
PatternMatcherInput.setInput( char [ ] input , int begin , int length );1;1;8
PatternMatcherInput.length( );1;1;3
PatternMatcherInput.PatternMatcherInput( String input , int begin , int length );1;0;3
PatternMatcherInput.match( );1;1;4
PatternMatcherInput.getBuffer( );1;0;1
PatternMatcherInput.getMatchEndOffset( );1;0;1
PatternMatcherInput.setCurrentOffset( int offset );1;2;4
PatternMatcherInput.setInput( char [ ] input );1;0;3
PatternMatcherInput.substring( int beginOffset );1;2;4
PatternMatcherInput.setInput( String input , int begin , int length );1;1;9
PatternMatcherInput.setInput( String input );1;0;3
PatternMatcherInput.getInput( );2;1;5
