Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
EntrySetIterator.remove( );1;0;3
ContextBase.putAll( Map map );2;0;7
MapEntryImpl.toString( );1;1;3
ContextBase.remove( Object key );4;3;14
ValuesImpl.remove( Object obj );2;0;7
ContextBase.entry( Object key );2;0;7
ContextBase.entriesIterator( );1;0;3
ContextBase.ContextBase( Map map );1;0;5
EntrySetImpl.iterator( );1;0;3
ContextBase.writeProperty( PropertyDescriptor descriptor , Object value );3;1;15
EntrySetIterator.next( );1;0;4
MapEntryImpl.hashCode( );3;3;4
ContextBase.readProperty( PropertyDescriptor descriptor );3;1;15
ContextBase.containsValue( Object value );8;6;21
EntrySetImpl.contains( Object obj );3;2;12
EntrySetImpl.clear( );1;0;3
ContextBase.ContextBase( );1;0;4
ContextBase.get( Object key );5;4;17
MapEntryImpl.setValue( Object value );1;0;6
ValuesImpl.size( );1;0;3
MapEntryImpl.getValue( );1;0;3
ContextBase.valuesIterator( );1;0;3
EntrySetIterator.hasNext( );1;0;3
ContextBase.isEmpty( );2;2;6
ValuesImpl.contains( Object obj );2;1;7
ValuesImpl.isEmpty( );1;0;3
ValuesImpl.clear( );1;0;3
ValuesIterator.hasNext( );1;0;3
ValuesIterator.remove( );1;0;3
ContextBase.values( );1;0;3
ContextBase.clear( );4;2;13
EntrySetImpl.remove( Object obj );2;0;7
MapEntryImpl.MapEntryImpl( Object key , Object value );1;0;4
ValuesIterator.next( );1;0;4
ContextBase.keySet( );1;0;3
ContextBase.initialize( );6;6;18
ContextBase.equals( Object object );1;0;3
EntrySetImpl.size( );1;0;3
ContextBase.remove( Map . Entry entry );3;2;11
ContextBase.put( Object key , Object value );5;4;18
ContextBase.entrySet( );1;0;3
ValuesImpl.iterator( );1;0;3
MapEntryImpl.getKey( );1;0;3
MapEntryImpl.equals( Object obj );6;6;20
EntrySetImpl.isEmpty( );1;0;3
