Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
VisualBasicCompile.getImports( );1;0;3
VisualBasicCompile.getOptionStrict( );1;0;3
VisualBasicCompile.getRootNamespace( );1;0;3
VisualBasicCompile.VisualBasicCompile( );1;0;3
VisualBasicCompile.getOptionCompareParameter( );3;2;7
VisualBasicCompile.createResourceParameter( NetCommand command , DotnetResource resource );1;0;3
VisualBasicCompile.getRootNamespaceParameter( );3;3;7
VisualBasicCompile.getReferenceDelimiter( );1;0;3
VisualBasicCompile.getOptionExplicit( );1;0;3
VisualBasicCompile.setRootNamespace( String rootNamespace );1;0;3
VisualBasicCompile.setOptionStrict( boolean flag );1;0;3
VisualBasicCompile.validate( );2;1;6
VisualBasicCompile.getOptionExplicitParameter( );2;0;3
VisualBasicCompile.setOptionExplicit( boolean flag );1;0;3
VisualBasicCompile.getRemoveIntChecks( );1;0;3
VisualBasicCompile.getFileExtension( );1;0;3
VisualBasicCompile.getImportsParameter( );3;3;7
VisualBasicCompile.setOptionCompare( String optionCompare );2;0;7
VisualBasicCompile.getRemoveIntChecksParameter( );2;0;3
VisualBasicCompile.clear( );1;0;10
VisualBasicCompile.setImports( String imports );1;0;3
VisualBasicCompile.getOptionStrictParameter( );2;0;3
VisualBasicCompile.setRemoveIntChecks( boolean flag );1;0;3
VisualBasicCompile.getWin32ResParameter( );2;1;7
VisualBasicCompile.getOptionCompare( );1;0;3
VisualBasicCompile.addCompilerSpecificOptions( NetCommand command );1;0;8
