Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Available.setProperty( String property );1;0;3
Available.createFilepath( );2;1;6
Available.eval( );17;20;53
Available.createClasspath( );2;1;6
Available.setValue( Object value );1;0;3
Available.checkFile( File f , String text );7;1;19
FileDir.isFile( );1;0;3
Available.checkFile( );23;18;54
Available.checkClass( String classname );8;3;37
Available.execute( );5;4;24
Available.setClasspathRef( Reference r );1;0;3
Available.setFile( File file );1;0;4
Available.setType( String type );1;0;7
Available.checkResource( String resource );3;5;13
Available.setSearchParents( boolean searchParents );1;0;3
Available.setType( FileDir type );1;0;3
Available.setClassname( String classname );2;1;5
Available.setValue( String value );1;0;3
Available.setFilepath( Path filepath );1;0;3
Available.setClasspath( Path classpath );1;0;3
FileDir.getValues( );1;0;3
FileDir.isDir( );1;0;3
Available.setIgnoresystemclasses( boolean ignore );1;0;3
Available.setResource( String resource );1;0;3
