Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ExecuteJava.timeoutOccured( Watchdog w );2;1;7
ExecuteJava.setJavaCommand( Commandline javaCommand );1;0;3
ExecuteJava.fork( ProjectComponent pc );7;5;35
ExecuteJava.setClasspath( Path p );1;0;3
ExecuteJava.setTimeout( Long timeout );1;0;3
ExecuteJava.setOutput( PrintStream out );1;0;2
ExecuteJava.run( );6;3;23
ExecuteJava.setupCommandLineForVMS( Execute exe , String [ ] command );2;2;14
ExecuteJava.execute( Project project );16;9;83
ExecuteJava.setSystemProperties( CommandlineJava . SysProperties s );1;0;3
ExecuteJava.killedProcess( );1;0;3
ExecuteJava.setPermissions( Permissions permissions );1;0;3
