Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Native2Ascii.execute( );11;14;38
Native2Ascii.convert( String srcName , String destName );6;5;25
Native2Ascii.createMapper( );2;1;8
ExtMapper.setTo( String s );1;0;2
ExtMapper.setFrom( String s );1;0;2
Native2Ascii.getCurrentArgs( );1;0;3
Native2Ascii.createArg( );1;0;6
Native2Ascii.setExt( String ext );1;0;3
Native2Ascii.setSrc( File srcDir );1;0;3
Native2Ascii.setReverse( boolean reverse );1;0;3
Native2Ascii.Native2Ascii( );1;0;3
Native2Ascii.getEncoding( );1;0;3
Native2Ascii.setImplementation( String impl );2;0;7
Native2Ascii.setEncoding( String encoding );1;0;3
Native2Ascii.getReverse( );1;0;3
Native2Ascii.setDest( File destDir );1;0;3
Native2Ascii.add( FileNameMapper fileNameMapper );1;0;3
ExtMapper.mapFileName( String fileName );2;3;9
