Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CCUpdate.setLog( String log );1;0;3
CCUpdate.setCurrentTime( boolean ct );1;0;3
CCUpdate.setRename( boolean ren );1;0;3
CCUpdate.getLog( );1;0;3
CCUpdate.getPreserveTime( );1;0;3
CCUpdate.getCurrentTime( );1;0;3
CCUpdate.checkOptions( Commandline cmd );6;0;24
CCUpdate.getLogCommand( Commandline cmd );2;1;8
CCUpdate.execute( );5;3;21
CCUpdate.getGraphical( );1;0;3
CCUpdate.setPreserveTime( boolean pt );1;0;3
CCUpdate.setOverwrite( boolean ow );1;0;3
CCUpdate.setGraphical( boolean graphical );1;0;3
CCUpdate.getOverwrite( );1;0;3
CCUpdate.getRename( );1;0;3
