Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BorlandGenerateClient.setClasspathRef( Reference r );1;0;3
BorlandGenerateClient.setMode( String s );1;0;3
BorlandGenerateClient.setVersion( int version );1;0;3
BorlandGenerateClient.executeForkV5( );3;0;24
BorlandGenerateClient.createClasspath( );2;1;6
BorlandGenerateClient.executeFork( );3;2;8
BorlandGenerateClient.setClientjar( File clientjar );1;0;3
BorlandGenerateClient.execute( );9;9;27
BorlandGenerateClient.setClasspath( Path classpath );2;1;7
BorlandGenerateClient.setDebug( boolean debug );1;0;3
BorlandGenerateClient.executeForkV4( );3;0;24
BorlandGenerateClient.setEjbjar( File ejbfile );1;0;3
BorlandGenerateClient.executeJava( );4;1;30
