Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
FormatterElement.createFormatter( ClassLoader loader );15;5;60
FormatterElement.getExtension( );1;0;3
FormatterElement.setOutput( OutputStream out );1;0;3
FormatterElement.setProject( Project project );1;0;3
FormatterElement.createFormatter( );1;0;3
FormatterElement.shouldUse( Task t );5;6;9
FormatterElement.setUseFile( boolean useFile );1;0;3
TypeAttribute.getValues( );1;0;3
FormatterElement.setIf( String ifProperty );1;0;3
FormatterElement.setOutfile( File out );1;0;3
FormatterElement.setClassname( String classname );4;0;10
FormatterElement.setType( TypeAttribute type );4;0;15
FormatterElement.getUseFile( );1;0;3
FormatterElement.setExtension( String ext );1;0;3
FormatterElement.setUnless( String unlessProperty );1;0;3
FormatterElement.getClassname( );1;0;3
