Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JUnitTaskMirrorImpl.JUnitTaskMirrorImpl( JUnitTask task );1;0;3
VmExitErrorTest.toString( );1;1;3
VmExitErrorTest.getName( );1;0;3
JUnitTaskMirrorImpl.addVmExit( JUnitTest test , JUnitTaskMirror . JUnitResultFormatterMirror aFormatter , OutputStream out , String message , String testCase );1;0;9
JUnitTaskMirrorImpl.newJUnitTestRunner( JUnitTest test , boolean haltOnError , boolean filterTrace , boolean haltOnFailure , boolean showOutput , boolean logTestListenerEvents , AntClassLoader classLoader );1;0;4
JUnitTaskMirrorImpl.newSummaryJUnitResultFormatter( );1;0;3
VmExitErrorTest.run( TestResult r );1;0;3
VmExitErrorTest.countTestCases( );1;0;3
VmExitErrorTest.getClassName( );1;0;3
VmExitErrorTest.VmExitErrorTest( String aMessage , JUnitTest anOriginalTest , String aTestCase );1;0;5
