Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractSshMessage.AbstractSshMessage( boolean verbose , Session session );1;0;4
AbstractSshMessage.setLogListener( LogListener aListener );1;0;3
AbstractSshMessage.sendAck( OutputStream out );1;0;6
AbstractSshMessage.openExecChannel( String command );1;0;5
ProgressMonitor.getTotalLength( );1;0;3
AbstractSshMessage.log( String message );1;0;2
AbstractSshMessage.logStats( long timeStarted , long timeEnded , long totalLength );1;3;9
ProgressMonitor.init( int op , String src , String dest , long max );1;0;5
AbstractSshMessage.waitForAck( InputStream in );7;8;23
AbstractSshMessage.getProgressMonitor( );2;1;6
AbstractSshMessage.AbstractSshMessage( Session session );1;0;3
ProgressMonitor.count( long len );1;1;7
ProgressMonitor.end( );1;0;2
AbstractSshMessage.trackProgress( long filesize , long totalLength , int percentTransmitted );7;9;24
AbstractSshMessage.openSftpChannel( );1;0;4
AbstractSshMessage.getVerbose( );1;0;3
