Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractScriptComponent.createClasspath( );1;0;3
AbstractScriptComponent.initScriptRunner( );2;1;7
AbstractScriptComponent.setManager( String manager );1;0;3
AbstractScriptComponent.setProject( Project project );1;0;4
AbstractScriptComponent.setClasspathRef( Reference r );1;0;3
AbstractScriptComponent.setClasspath( Path classpath );1;0;3
AbstractScriptComponent.executeScript( String execName );1;0;3
AbstractScriptComponent.addText( String text );1;0;3
AbstractScriptComponent.setSrc( File file );1;0;3
AbstractScriptComponent.getRunner( );1;0;4
AbstractScriptComponent.setLanguage( String language );1;0;3
