Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MappedIterator.hasNext( );1;0;3
MappedResourceCollection.add( FileNameMapper fileNameMapper );1;0;3
MappedIterator.next( );1;0;4
MappedResourceCollection.isFilesystemOnly( );2;0;8
MappedIterator.MappedIterator( Iterator source , Mapper m );2;1;8
MappedResourceCollection.createMapper( );3;1;12
MappedResourceCollection.checkInitialized( );2;1;7
MappedIterator.remove( );1;0;3
MappedResourceCollection.size( );2;0;7
MappedResourceCollection.add( ResourceCollection c );3;1;12
MappedResourceCollection.setRefid( Reference r );3;3;6
MappedResourceCollection.clone( );2;0;11
MappedResourceCollection.iterator( );2;0;7
MappedResourceCollection.dieOnCircularReference( Stack stk , Project p );5;1;17
