Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
URLResource.getSize( );4;1;16
URLResource.hashCode( );3;2;6
URLResource.URLResource( File f );1;0;3
URLResource.getLastModified( );3;1;9
URLResource.setURL( URL u );1;0;4
URLResource.URLResource( String u );1;0;3
URLResource.connect( );4;2;16
URLResource.URLResource( URL u );1;0;3
URLResource.getInputStream( );2;0;11
URLResource.toString( );2;0;4
URLResource.isDirectory( );2;0;5
URLResource.newURL( String u );2;0;7
URLResource.getURL( );2;0;6
URLResource.getOutputStream( );2;0;11
URLResource.equals( Object another );5;4;15
URLResource.URLResource( );1;0;2
URLResource.close( );5;1;17
URLResource.isExists( );2;0;6
URLResource.getName( );3;0;7
URLResource.setFile( File f );2;0;7
URLResource.setRefid( Reference r );2;1;6
URLResource.isExists( boolean closeConnection );4;1;15
