Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
IvyAntSettings.execute( );1;0;3
IvyAntSettings.getConfiguredIvyInstance( );2;1;6
IvyAntSettings.getPasswd( );1;0;3
Credentials.getUsername( );1;0;3
Credentials.getPasswd( );1;0;3
IvyAntSettings.addConfiguredCredentials( Credentials c );1;0;4
IvyAntSettings.setUsername( String aUserName );1;0;3
IvyAntSettings.getFile( );1;0;3
IvyAntSettings.info( String msg );1;0;3
IvyAntSettings.setUrl( String confUrl );1;0;3
Credentials.setPasswd( String passwd );1;0;3
Credentials.setHost( String host );1;0;3
Credentials.setUsername( String userName );1;0;3
IvyAntSettings.getDefaultInstance( Project project );6;7;26
IvyAntSettings.getUsername( );1;0;3
IvyAntSettings.setUrl( URL url );1;0;3
IvyAntSettings.setFile( File file );1;0;3
IvyAntSettings.format( String str );3;2;3
IvyAntSettings.getId( );1;0;3
Credentials.getRealm( );1;0;3
IvyAntSettings.getDefaultProperties( );3;1;18
IvyAntSettings.getRealm( );1;0;3
IvyAntSettings.verbose( String msg );1;0;3
IvyAntSettings.setPasswd( String aPasswd );1;0;3
IvyAntSettings.setId( String id );4;3;10
Credentials.getHost( );1;0;3
IvyAntSettings.setRealm( String aRealm );1;0;3
IvyAntSettings.setHost( String aHost );1;0;3
IvyAntSettings.createIvyEngine( );10;8;45
IvyAntSettings.getHost( );1;0;3
IvyAntSettings.setProject( Project p );3;2;7
IvyAntSettings.getUrl( );1;0;3
IvyAntSettings.defineDefaultSettingFile( IvyVariableContainer variableContainer );7;6;33
Credentials.setRealm( String realm );1;0;3
IvyAntSettings.configureURLHandler( );1;0;8
