Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ArtifactOrigin.unkwnown( Artifact artifact );1;0;3
ArtifactOrigin.isUnknown( ArtifactOrigin artifact );2;2;3
ArtifactOrigin.toString( );1;0;3
ArtifactOrigin.equals( Object o );6;6;16
ArtifactOrigin.isLocal( );1;0;3
ArtifactOrigin.getLocation( );1;0;3
ArtifactOrigin.getArtifact( );1;0;3
ArtifactOrigin.isUnknown( String location );2;2;3
ArtifactOrigin.ArtifactOrigin( Artifact artifact , boolean isLocal , String location );1;0;7
ArtifactOrigin.hashCode( );2;2;6
