Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Credentials.getHost( );1;0;3
Credentials.toString( );1;2;3
Credentials.buildKey( String realm , String host );3;3;7
Credentials.getRealm( );1;0;3
Credentials.Credentials( String realm , String host , String userName , String passwd );1;0;6
Credentials.equals( Object o );3;1;10
Credentials.getPasswd( );1;0;3
Credentials.getPasswdAsStars( );3;3;10
Credentials.getKey( );1;0;3
Credentials.hashCode( );1;0;3
Credentials.getUserName( );1;0;3
