Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractDpkgTask.setFailOnError( boolean failOnError );1;0;3
AbstractDpkgTask.addSubCommandArgument( Commandline c , String arg );1;0;3
AbstractDpkgTask.setOutputStream( OutputStream outputStream );1;0;3
AbstractDpkgTask.setAppend( boolean value );1;0;3
AbstractDpkgTask.getDest( );1;0;3
AbstractDpkgTask.setDest( File dest );1;0;3
AbstractDpkgTask.AbstractDpkgTask( );1;0;3
AbstractDpkgTask.setError( File error );1;0;3
AbstractDpkgTask.setExecuteStreamHandler( ExecuteStreamHandler handler );1;0;3
AbstractDpkgTask.removeCommandline( Commandline c );1;0;3
AbstractDpkgTask.setErrorStream( OutputStream errorStream );1;0;3
AbstractDpkgTask.setOutput( File output );1;0;3
AbstractDpkgTask.addConfiguredCommandline( Commandline c , boolean insertAtStart );3;1;11
AbstractDpkgTask.addConfiguredCommandline( Commandline c );1;0;3
AbstractDpkgTask.getSubCommand( );1;0;3
AbstractDpkgTask.setFile( File file );1;0;3
AbstractDpkgTask.getExecuteStreamHandler( );2;1;7
AbstractDpkgTask.getOutputStream( );4;2;18
AbstractDpkgTask.setQuiet( boolean q );1;0;3
AbstractDpkgTask.addSubCommandArgument( String arg );1;0;3
AbstractDpkgTask.execute( );6;7;25
AbstractDpkgTask.getErrorStream( );4;2;17
AbstractDpkgTask.configureCommandline( Commandline c );2;1;6
AbstractDpkgTask.setSubCommand( String c );1;0;3
AbstractDpkgTask.setVerbose( boolean v );1;0;3
AbstractDpkgTask.runCommand( Commandline toExecute );12;4;49
AbstractDpkgTask.getFile( );1;0;3
AbstractDpkgTask.executeToString( Execute execute );3;3;19
