Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DT.setOnKeyUp( String script );1;0;3
DT.addElement( Element element );1;0;4
DT.setOnMouseUp( String script );1;0;3
DT.removeElement( String hashcode );1;0;4
DT.addElement( String hashcode , Element element );1;0;4
DT.setOnKeyPress( String script );1;0;3
DT.setOnMouseMove( String script );1;0;3
DT.setOnMouseOver( String script );1;0;3
DT.addElement( String element );1;0;4
DT.setOnDblClick( String script );1;0;3
DT.setOnMouseDown( String script );1;0;3
DT.DT( );1;0;2
DT.setOnMouseOut( String script );1;0;3
DT.DT( String value );1;0;3
DT.setOnKeyDown( String script );1;0;3
DT.setOnClick( String script );1;0;3
DT.addElement( String hashcode , String element );1;0;4
