Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Em.Em( );1;0;2
Em.setOnKeyDown( String script );1;0;3
Em.setOnMouseOut( String script );1;0;3
Em.setOnClick( String script );1;0;3
Em.addElement( Element element );1;0;4
Em.addElement( String hashcode , String element );1;0;4
Em.Em( Element element );1;0;3
Em.setOnMouseUp( String script );1;0;3
Em.setOnKeyPress( String script );1;0;3
Em.removeElement( String hashcode );1;0;4
Em.setOnKeyUp( String script );1;0;3
Em.setOnMouseMove( String script );1;0;3
Em.setOnDblClick( String script );1;0;3
Em.addElement( String hashcode , Element element );1;0;4
Em.Em( String element );1;0;3
Em.addElement( String element );1;0;4
Em.setOnMouseOver( String script );1;0;3
Em.setOnMouseDown( String script );1;0;3
