Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
H3.setOnKeyUp( String script );1;0;3
H3.setOnKeyDown( String script );1;0;3
H3.H3( Element element );1;0;3
H3.setOnKeyPress( String script );1;0;3
H3.setOnMouseOut( String script );1;0;3
H3.removeElement( String hashcode );1;0;4
H3.setOnMouseOver( String script );1;0;3
H3.addElement( String hashcode , String element );1;0;4
H3.setOnMouseMove( String script );1;0;3
H3.setOnMouseUp( String script );1;0;3
H3.addElement( String hashcode , Element element );1;0;4
H3.setOnMouseDown( String script );1;0;3
H3.addElement( String element );1;0;4
H3.H3( String value );1;0;3
H3.H3( );1;0;2
H3.setOnDblClick( String script );1;0;3
H3.addElement( Element element );1;0;4
H3.setOnClick( String script );1;0;3
