Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LI.setOnMouseOver( String script );1;0;3
LI.setOnMouseOut( String script );1;0;3
LI.addElement( String hashcode , String element );1;0;4
LI.setOnDblClick( String script );1;0;3
LI.LI( String value );1;0;3
LI.LI( );1;0;2
LI.setOnKeyPress( String script );1;0;3
LI.addElement( String element );1;0;4
LI.setOnMouseDown( String script );1;0;3
LI.setOnKeyDown( String script );1;0;3
LI.setOnKeyUp( String script );1;0;3
LI.setOnMouseUp( String script );1;0;3
LI.removeElement( String hashcode );1;0;4
LI.addElement( String hashcode , Element element );1;0;4
LI.setOnClick( String script );1;0;3
LI.LI( Element element );1;0;3
LI.addElement( Element element );1;0;4
LI.setOnMouseMove( String script );1;0;3
LI.addElement( String [ ] element );2;2;8
