Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
OptGroup.setOnDblClick( String script );1;0;3
OptGroup.setValue( String value );1;0;4
OptGroup.setLabel( String label );1;0;4
OptGroup.setOnKeyPress( String script );1;0;3
OptGroup.setOnSubmit( String script );1;0;3
OptGroup.addElement( String hashcode , Element element );1;0;4
OptGroup.OptGroup( String label , boolean disabled );1;0;4
OptGroup.setOnBlur( String script );1;0;3
OptGroup.setOnSelect( String script );1;0;3
OptGroup.setOnMouseMove( String script );1;0;3
OptGroup.setOnMouseDown( String script );1;0;3
OptGroup.addElement( String hashcode , String element );1;0;4
OptGroup.OptGroup( String label );1;0;3
OptGroup.setOnReset( String script );1;0;3
OptGroup.OptGroup( );1;0;2
OptGroup.addElement( Element element );1;0;4
OptGroup.setOnClick( String script );1;0;3
OptGroup.setOnMouseUp( String script );1;0;3
OptGroup.setDisabled( boolean disabled );2;1;7
OptGroup.setOnKeyDown( String script );1;0;3
OptGroup.addElement( String element );1;0;4
OptGroup.setOnMouseOut( String script );1;0;3
OptGroup.setOnFocus( String script );1;0;3
OptGroup.setOnChange( String script );1;0;3
OptGroup.removeElement( String hashcode );1;0;4
OptGroup.setOnKeyUp( String script );1;0;3
OptGroup.setOnMouseOver( String script );1;0;3
