Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Span.setOnMouseUp( String script );1;0;3
Span.Span( String value );1;0;3
Span.addElement( String element );1;0;4
Span.addElement( String hashcode , Element element );1;0;4
Span.Span( );1;0;2
Span.setOnClick( String script );1;0;3
Span.setOnDblClick( String script );1;0;3
Span.setOnMouseMove( String script );1;0;3
Span.setOnMouseOut( String script );1;0;3
Span.setOnMouseOver( String script );1;0;3
Span.removeElement( String hashcode );1;0;4
Span.setOnKeyUp( String script );1;0;3
Span.setOnKeyPress( String script );1;0;3
Span.setOnMouseDown( String script );1;0;3
Span.setOnKeyDown( String script );1;0;3
Span.addElement( String hashcode , String element );1;0;4
Span.addElement( Element element );1;0;4
