Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
THead.setSpan( int span );1;0;4
THead.addElement( String hashcode , String element );1;0;4
THead.setWidth( String width );1;0;4
THead.addElement( Element element );1;0;4
THead.setOnMouseMove( String script );1;0;3
THead.setOnMouseOut( String script );1;0;3
THead.setVAlign( String valign );1;0;4
THead.setOnKeyPress( String script );1;0;3
THead.setOnMouseOver( String script );1;0;3
THead.setOnMouseDown( String script );1;0;3
THead.setSpan( String span );1;0;4
THead.addElement( String element );1;0;4
THead.setWidth( int width );1;0;4
THead.setOnKeyUp( String script );1;0;3
THead.addElement( String hashcode , Element element );1;0;4
THead.THead( );1;0;2
THead.removeElement( String hashcode );1;0;4
THead.setCharOff( String char_off );1;0;4
THead.setChar( String character );1;0;4
THead.setOnDblClick( String script );1;0;3
THead.setCharOff( int char_off );1;0;4
THead.setAlign( String align );1;0;4
THead.setOnMouseUp( String script );1;0;3
THead.setOnClick( String script );1;0;3
THead.setOnKeyDown( String script );1;0;3
