Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Paragraph.Paragraph( String element );1;0;3
Paragraph.Paragraph( RTFElement element );1;0;3
Paragraph.addElement( String element );1;0;4
Paragraph.setIndent( String size );1;0;4
Paragraph.updateIndent( );1;0;3
Paragraph.addElement( String hashcode , String element );1;0;4
Paragraph.addElement( String hashcode , RTFElement element );1;0;4
Paragraph.Paragraph( );1;0;2
Paragraph.addElement( RTFElement element );1;0;4
Paragraph.removeElement( String hashcode );1;0;4
