Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Record.Record( );1;0;3
Record.setCond( String cond );1;0;4
Record.setMaxtime( String maxtime );1;0;4
Record.Record( String name , String expr );1;0;5
Record.setBeep( String beep );1;0;4
Record.Record( String name );1;0;4
Record.setName( String name );1;0;4
Record.setDtmfterm( String dtmfterm );1;0;4
Record.setFinalsilence( String finalsilence );1;0;4
Record.setModal( String modal );1;0;4
Record.setExpr( String expr );1;0;4
Record.setType( String t );1;0;4
