Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
pre.setOnClick( String script );1;0;3
pre.addElement( Element element );1;0;4
pre.pre( String value , int width );1;0;4
pre.setOnMouseOut( String script );1;0;3
pre.setOnKeyDown( String script );1;0;3
pre.setLang( String lang );1;0;5
pre.setOnKeyUp( String script );1;0;3
pre.setWidth( String width );1;0;4
pre.setOnMouseUp( String script );1;0;3
pre.setOnMouseMove( String script );1;0;3
pre.setOnMouseOver( String script );1;0;3
pre.pre( );1;0;2
pre.addElement( String element );1;0;4
pre.setWidth( int width );1;0;4
pre.pre( Element element , String width );1;0;4
pre.removeElement( String hashcode );1;0;4
pre.addElement( String hashcode , Element element );1;0;4
pre.pre( Element element , int width );1;0;4
pre.setOnMouseDown( String script );1;0;3
pre.addElement( String hashcode , String element );1;0;4
pre.setOnKeyPress( String script );1;0;3
pre.setOnDblClick( String script );1;0;3
pre.pre( String value );1;0;3
pre.pre( Element element );1;0;3
