Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
q.setOnClick( String script );1;0;3
q.addElement( String element );1;0;4
q.addElement( String hashcode , Element element );1;0;4
q.setOnDblClick( String script );1;0;3
q.setLang( String lang );1;0;5
q.setOnKeyUp( String script );1;0;3
q.setCite( String cite );1;0;4
q.q( String element , Element cite );1;0;4
q.addElement( String hashcode , String element );1;0;4
q.setOnKeyPress( String script );1;0;3
q.setOnMouseDown( String script );1;0;3
q.q( Element element , Element cite );1;0;4
q.q( String element );1;0;3
q.setOnMouseUp( String script );1;0;3
q.removeElement( String hashcode );1;0;4
q.addElement( Element element );1;0;4
q.q( );1;0;2
q.setCite( Element cite );1;0;4
q.setOnKeyDown( String script );1;0;3
q.q( String element , String cite );1;0;4
q.setOnMouseMove( String script );1;0;3
q.q( Element element , String cite );1;0;4
q.setOnMouseOut( String script );1;0;3
q.setOnMouseOver( String script );1;0;3
q.q( Element element );1;0;3
