Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
style.addElement( String element );1;0;4
style.style( String type , Element element );1;0;4
style.style( String type , String element );1;0;4
style.style( String type );1;0;3
style.style( );1;0;2
style.addElement( String hashcode , Element element );1;0;4
style.addElement( Element element );1;0;4
style.setLang( String lang );1;0;5
style.setType( String type );1;0;4
style.setMedia( String media );1;0;4
style.removeElement( String hashcode );1;0;4
style.addElement( String hashcode , String element );1;0;4
