Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CactifyWarTask.addJspRedirector( );2;0;19
CactifyWarTask.addFilterRedirector( FilterRedirector theFilterRedirector );1;0;3
CactifyWarTask.getOriginalWebXml( );2;0;13
***not in a method***;0;1;0
CactifyWarTask.setContext( String context );1;0;3
CactifyWarTask.createTempFile( String thePrefix , String theSuffix , File theParentDir , boolean isDeleteOnExit );4;3;22
CactifyWarTask.setIncludeCactusJars( boolean includeCactusJars );1;0;3
CactifyWarTask.addConfiguredXMLCatalog( XMLCatalog theXmlCatalog );2;1;8
CactifyWarTask.cactifyWebXml( WebXml theWebXml );6;3;54
CactifyWarTask.addCactusJars( );1;0;10
CactifyWarTask.setMergeWebXml( File theMergeFile );1;0;3
CactifyWarTask.addJspRedirector( JspRedirector theJspRedirector );1;0;3
CactifyWarTask.addEjbRefs( WebXml theWebXml );2;0;8
CactifyWarTask.addJarWithClass( String theClassName , String theDescription );5;2;38
CactifyWarTask.getFileName( );1;0;3
CactifyWarTask.setSrcFile( File theSrcFile );1;0;3
CactifyWarTask.setVersion( Version theVersion );1;0;3
CactifyWarTask.getContext( );1;0;3
CactifyWarTask.addConfiguredEjbref( EjbRef theEjbRef );1;0;3
CactifyWarTask.execute( );10;5;67
CactifyWarTask.addRedirectorDefinitions( WebXml theWebXml );8;3;36
CactifyWarTask.addServletRedirector( ServletRedirector theServletRedirector );1;0;3
