Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
WarBuilder.createWar( final IProgressMonitor thePM );8;7;69
WarBuilder.getJarEntries( );1;0;3
WarBuilder.createZipFile( final File theZipFile , final File theExistingFile );1;0;11
WarBuilder.getUserWebFilesDir( );3;2;12
WarBuilder.getAbsoluteOutputLocation( final IJavaProject theJavaProject );1;0;7
WarBuilder.getAbsoluteEntries( final IClasspathEntry [ ] theEntries );6;4;39
WarBuilder.getZipFileSets( final IClasspathEntry [ ] theJarEntries );3;3;15
WarBuilder.getOutputWar( );1;0;3
WarBuilder.delete( final File theFile );4;2;16
WarBuilder.getWebXML( final File theWebFilesDir );2;5;16
WarBuilder.WarBuilder( final IJavaProject theJavaProject );1;0;4
