Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractNumberValidator.getFormat( Locale locale );6;3;27
AbstractNumberValidator.AbstractNumberValidator( boolean strict , int formatType , boolean allowFractions );1;0;5
AbstractNumberValidator.getFormat( String pattern , Locale locale );5;6;16
AbstractNumberValidator.parse( String value , String pattern , Locale locale );4;4;8
AbstractNumberValidator.minValue( Number value , Number min );2;2;7
AbstractNumberValidator.maxValue( Number value , Number max );2;2;7
AbstractNumberValidator.isInRange( Number value , Number min , Number max );2;1;3
AbstractNumberValidator.isValid( String value , String pattern , Locale locale );2;1;4
AbstractNumberValidator.getFormatType( );1;0;3
AbstractNumberValidator.isAllowFractions( );1;0;3
AbstractNumberValidator.determineScale( NumberFormat format );9;12;25
