Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AFPObjectAreaInfo.setX( int x );1;0;3
AFPObjectAreaInfo.toString( );1;0;9
AFPObjectAreaInfo.getHeight( );1;0;3
AFPObjectAreaInfo.getWidth( );1;0;3
AFPObjectAreaInfo.getWidthRes( );1;0;3
AFPObjectAreaInfo.setHeightRes( int heightRes );1;0;3
AFPObjectAreaInfo.getY( );1;0;3
AFPObjectAreaInfo.setY( int y );1;0;3
AFPObjectAreaInfo.setHeight( int height );1;0;3
AFPObjectAreaInfo.getX( );1;0;3
AFPObjectAreaInfo.setWidthRes( int widthRes );1;0;3
AFPObjectAreaInfo.setWidth( int width );1;0;3
AFPObjectAreaInfo.getRotation( );1;0;3
AFPObjectAreaInfo.getHeightRes( );1;0;3
AFPObjectAreaInfo.setRotation( int rotation );1;0;3
