Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LineArea.LineArea( int alignment , int diff , int stretch , int shrink );1;0;3
LineArea.getInlineAreas( );1;0;3
LineArea.finalise( );5;6;20
LineArea.addChildArea( Area childArea );2;0;6
LineAdjustingInfo.LineAdjustingInfo( int alignment , int diff , int stretch , int shrink );1;0;8
LineArea.addInlineArea( InlineArea area );1;0;3
LineArea.updateExtentsFromChildren( );2;3;10
LineArea.LineArea( );1;0;2
LineArea.getStartIndent( );2;0;7
LineArea.handleIPDVariation( int ipdVariation );6;7;22
