Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ExternalGraphic.getURL( );1;0;3
ExternalGraphic.getSrc( );1;0;3
ExternalGraphic.getLocalName( );1;0;3
ExternalGraphic.getIntrinsicHeight( );1;0;3
ExternalGraphic.getIntrinsicAlignmentAdjust( );1;0;3
ExternalGraphic.validateChildNode( Locator loc , String nsURI , String localName );2;0;5
ExternalGraphic.ExternalGraphic( FONode parent );1;0;3
ExternalGraphic.getNameId( );1;0;3
ExternalGraphic.startOfNode( );1;0;4
ExternalGraphic.getIntrinsicWidth( );1;0;3
ExternalGraphic.bind( PropertyList pList );6;3;32
