Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
EffRow.getBreakAfter( );5;4;11
EffRow.getExplicitHeight( );1;0;3
EffRow.getBodyType( );1;0;3
EffRow.getKeepWithNextStrength( );6;5;15
EffRow.EffRow( int index , int bodyType , List gridUnits );3;0;11
EffRow.getBreakBefore( );3;0;11
EffRow.getKeepTogetherStrength( );2;1;11
EffRow.getGridUnits( );1;0;3
EffRow.getTableRow( );1;0;3
EffRow.getKeepWithPreviousStrength( );4;1;15
EffRow.setExplicitHeight( MinOptMax mom );1;0;3
EffRow.setHeight( MinOptMax mom );1;0;3
EffRow.getGridUnit( int column );1;0;3
EffRow.getHeight( );1;0;3
EffRow.getIndex( );1;0;3
EffRow.safelyGetGridUnit( int column );2;1;7
EffRow.getFlag( int which );3;2;9
EffRow.toString( );3;2;16
