Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PageSequence.getNextSimplePageMaster( int page , boolean isFirstPage , boolean isLastPage , boolean isBlank );3;3;15
PageSequence.hasPagePositionLast( );2;2;3
PageSequence.getCountry( );1;0;3
PageSequence.hasFlowName( String flowName );1;0;3
PageSequence.getFlowMap( );1;0;3
PageSequence.validateChildNode( Locator loc , String nsURI , String localName );10;5;23
PageSequence.getMainFlow( );1;0;3
PageSequence.addChildNode( FONode child );4;0;18
PageSequence.releasePageSequence( );1;0;4
PageSequence.getLocalName( );1;0;3
PageSequence.addFlow( Flow flow );5;5;13
PageSequence.startOfNode( );3;2;14
PageSequence.PageSequence( FONode parent );1;0;3
PageSequence.getTitleFO( );1;0;3
PageSequence.getStaticContent( String name );1;0;3
PageSequence.getNameId( );1;0;3
PageSequence.hasPagePositionOnly( );2;2;3
PageSequence.bind( PropertyList pList );3;2;9
PageSequence.goToPreviousSimplePageMaster( );2;2;3
PageSequence.endOfNode( );2;1;6
PageSequence.getLanguage( );1;0;3
PageSequence.getMasterReference( );1;0;3
