Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BreakElement.setPenaltyValue( int p );1;0;3
BreakElement.getPenaltyWidth( );1;0;3
BreakElement.BreakElement( Position position , int penaltyValue , LayoutContext context );1;1;3
BreakElement.clearPendingMarks( );1;0;4
BreakElement.getPenaltyValue( );1;0;3
BreakElement.toString( );6;0;28
BreakElement.BreakElement( Position position , int penaltyWidth , int penaltyValue , int breakClass , LayoutContext context );1;0;8
BreakElement.getPendingAfterMarks( );1;0;3
***not in a method***;0;1;0
BreakElement.setBreakClass( int breakClass );1;0;3
BreakElement.isConditional( );1;0;3
BreakElement.getBreakClass( );1;0;3
BreakElement.isForcedBreak( );1;2;3
BreakElement.getPendingBeforeMarks( );1;0;3
