Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
StaticContentBreaker.getCurrentDisplayAlign( );1;0;3
StaticContentBreaker.createLayoutListener( );2;0;9
StaticContentLayoutManager.StaticContentLayoutManager( PageSequenceLayoutManager pslm , StaticContent node , SideRegion reg );1;0;6
***not in a method***;0;1;0
StaticContentLayoutManager.getNextKnuthElements( LayoutContext context , int alignment );16;13;68
StaticContentBreaker.getOverflowAmount( );1;0;3
StaticContentBreaker.addAreas( PositionIterator posIter , LayoutContext context );1;0;3
StaticContentLayoutManager.getContentAreaBPD( );1;0;3
StaticContentLayoutManager.setContentAreaIPD( int contentAreaIPD );1;0;3
StaticContentBreaker.observeElementList( List elementList );3;4;8
StaticContentLayoutManager.getKeepTogetherStrength( );1;0;3
StaticContentLayoutManager.doLayout( );6;6;37
StaticContentLayoutManager.setContentAreaBPD( int contentAreaBPD );1;0;3
StaticContentLayoutManager.getStaticContentFO( );1;0;3
StaticContentBreaker.StaticContentBreaker( StaticContentLayoutManager lm , int ipd , int displayAlign );1;0;5
StaticContentLayoutManager.getKeepWithPreviousStrength( );1;0;3
StaticContentBreaker.notifyOverflow( int part , int amount , FObj obj );2;1;5
StaticContentBreaker.getTopLevelLM( );1;0;3
StaticContentLayoutManager.StaticContentLayoutManager( PageSequenceLayoutManager pslm , StaticContent node , Block block );1;0;5
StaticContentBreaker.isPartOverflowRecoveryActivated( );1;0;3
StaticContentBreaker.createLayoutContext( );1;0;5
StaticContentBreaker.hasMoreContent( );1;1;3
StaticContentBreaker.getNextKnuthElements( LayoutContext context , int alignment );5;5;21
StaticContentBreaker.doPhase3( PageBreakingAlgorithm alg , int partCount , BlockSequence originalList , BlockSequence effectiveList );2;3;10
StaticContentBreaker.isOverflow( );1;1;3
StaticContentLayoutManager.addChildArea( Area childArea );2;0;7
StaticContentLayoutManager.addAreas( PositionIterator parentIter , LayoutContext layoutContext );1;0;5
StaticContentLayoutManager.getKeepWithNextStrength( );1;0;3
StaticContentBreaker.getCurrentChildLM( );1;0;3
StaticContentLayoutManager.getParentArea( Area childArea );2;0;7
StaticContentBreaker.finishPart( PageBreakingAlgorithm alg , PageBreakPosition pbp );1;0;2
StaticContentLayoutManager.getContentAreaIPD( );1;0;3
