Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RtfSection.getTextrun( );1;0;3
RtfSection.newJforCmd( RtfAttributes attrs );1;0;4
RtfSection.closeCurrentTable( );2;1;5
RtfSection.newParagraphKeepTogether( );1;0;3
RtfSection.writeRtfPrefix( );1;0;5
RtfSection.RtfSection( RtfDocumentArea parent , Writer w );1;0;3
RtfSection.newBefore( RtfAttributes attrs );1;0;5
RtfSection.newTable( RtfAttributes attrs , ITableColumnsInfo tc );1;0;5
RtfSection.closeCurrentBefore( );2;1;5
RtfSection.newParagraph( RtfAttributes attrs );1;0;5
RtfSection.closeAll( );1;0;7
RtfSection.writeRtfSuffix( );1;0;3
RtfSection.newList( RtfAttributes attrs );1;0;5
RtfSection.newImage( );1;0;5
RtfSection.newParagraph( );1;0;3
RtfSection.newAfter( RtfAttributes attrs );1;0;5
RtfSection.newTable( ITableColumnsInfo tc );1;0;5
RtfSection.closeCurrentExternalGraphic( );2;1;5
RtfSection.closeCurrentParagraph( );2;1;5
RtfSection.closeCurrentList( );2;1;5
