Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
TXTRenderer.addChar( int x , int y , char ch , boolean ischar );1;0;4
TXTRenderer.isLayInside( int x , int y );4;7;3
TXTRenderer.beginTextObject( );1;0;2
TXTRenderer.restoreStateStackAfterBreakOut( List breakOutList );1;0;2
TXTRenderer.moveTo( float x , float y );1;0;2
TXTRenderer.stopRenderer( );1;0;5
TXTRenderer.clip( );1;0;2
TXTRenderer.endTextObject( );1;0;2
TXTRenderer.renderText( TextArea area );1;0;7
TXTRenderer.startRenderer( OutputStream os );1;0;7
TXTRenderer.saveGraphicsState( );1;0;3
TXTRenderer.putChar( int x , int y , char ch , boolean ischar );4;1;9
TXTRenderer.drawBackAndBorders( Area area , float startx , float starty , float width , float height );1;0;7
TXTRenderer.setEncoding( String encoding );1;0;3
TXTRenderer.flushBuffer( );15;20;33
TXTRenderer.toMilli( float x );1;1;3
TXTRenderer.fillRect( int startX , int startY , int width , int height , char charToFill );3;6;7
TXTRenderer.clipRect( float x , float y , float width , float height );1;0;2
TXTRenderer.addBitOfBorder( int x , int y , int style , int type );2;0;6
TXTRenderer.breakOutOfStateStack( );1;0;3
TXTRenderer.fillRect( float x , float y , float width , float height );1;0;4
TXTRenderer.lineTo( float x , float y );1;0;2
TXTRenderer.TXTRenderer( );1;0;2
TXTRenderer.renderPage( PageViewport page );3;2;22
TXTRenderer.drawBorderLine( float x1 , float y1 , float x2 , float y2 , boolean horz , boolean startOrBefore , int style , Color col );9;21;43
TXTRenderer.getMimeType( );1;0;3
TXTRenderer.startVParea( CTM ctm , Rectangle2D clippingRect );1;0;3
TXTRenderer.updateColor( Color col , boolean fill );6;14;20
TXTRenderer.closePath( );1;0;2
TXTRenderer.addString( int row , int col , String s );2;3;5
TXTRenderer.restoreGraphicsState( );1;0;3
TXTRenderer.drawImage( String url , Rectangle2D pos , Map foreignAttributes );1;0;2
TXTRenderer.concatenateTransformationMatrix( AffineTransform at );1;0;3
TXTRenderer.renderImage( Image image , Rectangle2D pos );1;0;7
TXTRenderer.flushBorderToBuffer( );4;5;10
TXTRenderer.endVParea( );1;0;3
