Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BorderManager.getHeight( );1;0;3
BorderManager.getStartX( );1;0;3
BorderManager.setHeight( int height );1;0;3
BorderManager.setStartY( int startY );1;0;3
BorderManager.setStartX( int startX );1;0;3
BorderManager.BorderManager( int pageWidth , int pageHeight , TXTState state );1;0;4
BorderManager.getCharacter( int x , int y );2;1;7
BorderManager.getWidth( );1;0;3
BorderManager.addBorderElement( int x , int y , int style , int type );6;6;18
BorderManager.setWidth( int width );1;0;3
BorderManager.getStartY( );1;0;3
