Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PDFDocumentGraphics2D.setSVGDimension( float w , float h );1;0;4
PDFDocumentGraphics2D.getDeviceDPI( );1;0;3
PDFDocumentGraphics2D.getPDFDocument( );1;0;3
PDFDocumentGraphics2D.create( );1;0;3
PDFDocumentGraphics2D.PDFDocumentGraphics2D( PDFDocumentGraphics2D g );1;0;8
PDFDocumentGraphics2D.PDFDocumentGraphics2D( boolean textAsShapes );1;0;6
PDFDocumentGraphics2D.setupDocument( OutputStream stream , int width , int height );1;0;6
PDFDocumentGraphics2D.getFontInfo( );1;0;3
PDFDocumentGraphics2D.finish( );2;1;9
PDFDocumentGraphics2D.nextPage( );1;0;3
PDFDocumentGraphics2D.PDFDocumentGraphics2D( boolean textAsShapes , OutputStream stream , int width , int height );1;0;4
PDFDocumentGraphics2D.setupDefaultFontInfo( );2;1;7
PDFDocumentGraphics2D.setFontInfo( FontInfo fontInfo );1;0;3
PDFDocumentGraphics2D.setBackgroundColor( Color col );1;0;9
PDFDocumentGraphics2D.PDFDocumentGraphics2D( );1;0;3
PDFDocumentGraphics2D.startPage( );6;10;43
PDFDocumentGraphics2D.drawString( String s , float x , float y );2;0;11
PDFDocumentGraphics2D.preparePainting( );5;3;13
PDFDocumentGraphics2D.setDeviceDPI( float deviceDPI );1;0;3
PDFDocumentGraphics2D.closePage( );3;2;17
PDFDocumentGraphics2D.getPDFContext( );1;0;3
