Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MethodUtils.getEntryPoint( Class targetClass , String methodName , Class [ ] argTypes , boolean isStaticReference );18;21;78
MethodUtils.getMethod( Object target , String methodName , Class [ ] argTypes );2;0;5
MethodUtils.isAssignmentConvertable( Class parm , Class arg );5;4;10
MoreSpecific.getMostSpecific( Class targetClass , String methodName , Class [ ] argTypes , boolean isStaticReference );4;3;19
MethodUtils.getConstructor( Class targetClass , Class [ ] argTypes );1;0;3
MethodUtils.callToString( Class targetClass , String methodName , Class [ ] argTypes , boolean isStaticReference );7;6;25
MethodUtils.entryGetName( Object entry );2;0;5
MethodUtils.entryGetModifiers( Object entry );2;0;5
MethodUtils.areMethodConvertable( Class [ ] parms , Class [ ] args );4;4;8
MoreSpecific.addItem( Object newEntry );6;2;22
MethodUtils.entryGetParameterTypes( Object entry );2;0;5
MethodUtils.entryToString( Object entry );2;0;5
MethodUtils.isMethodConvertable( Class parm , Class arg );19;17;39
MethodUtils.getMethod( Class target , String methodName , Class [ ] argTypes , boolean isStaticReference );1;0;3
