Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Counter.main( String argv [ ] );55;16;265
Counter.processingInstruction( String target , String data );3;8;9
Counter.ignorableWhitespace( char ch [ ] , int start , int length );1;1;3
Counter.startDocument( );1;0;7
Counter.printResults( PrintWriter out , String uri , long time , long memory , boolean tagginess , int repetition );4;8;39
Counter.printUsage( );14;0;76
Counter.characters( char ch [ ] , int start , int length );1;1;3
Counter.fatalError( SAXParseException ex );1;0;3
Counter.warning( SAXParseException ex );1;0;3
Counter.startElement( String uri , String local , String raw , Attributes attrs );3;14;18
Counter.error( SAXParseException ex );1;0;3
Counter.printError( String type , SAXParseException ex );4;5;23
Counter.Counter( );1;0;2
